area,year,Economically Inactive,percent
lewisham,2011,50600.0,26.0
lewisham,2012,48900.0,25.0
lewisham,2013,39600.0,20.1
lewisham,2014,42300.0,21.0
lewisham,2015,40100.0,19.5
lewisham,2016,41700.0,20.0
lewisham,2017,27900.0,13.4
lewisham,2018,36900.0,17.4
merton,2004,23900.0,18.6
merton,2005,31200.0,23.9
merton,2006,27700.0,21.0
merton,2007,24700.0,18.6
merton,2008,23100.0,17.3
merton,2009,28800.0,21.2
merton,2010,29900.0,22.0
merton,2011,30100.0,22.1
merton,2012,29000.0,21.2
merton,2013,27600.0,19.9
merton,2014,27200.0,19.7
merton,2015,24200.0,17.5
merton,2016,27200.0,19.8
merton,2017,24900.0,18.4
merton,2018,20600.0,14.8
newham,2004,67100.0,39.3
newham,2005,65800.0,38.4
newham,2006,61100.0,34.8
newham,2007,65400.0,36.0
newham,2008,64000.0,33.9
newham,2009,68100.0,34.7
newham,2010,76500.0,36.4
newham,2011,77700.0,35.5
newham,2012,65800.0,29.6
newham,2013,66400.0,29.5
newham,2014,75200.0,32.7
newham,2015,64500.0,27.3
newham,2016,59100.0,24.5
newham,2017,64400.0,26.6
newham,2018,66800.0,27.1
redbridge,2004,36300.0,22.5
redbridge,2005,50700.0,30.9
redbridge,2006,45300.0,27.2
redbridge,2007,50400.0,29.6
redbridge,2008,50500.0,28.9
redbridge,2009,48600.0,27.4
redbridge,2010,53600.0,29.6
redbridge,2011,54300.0,29.7
redbridge,2012,52500.0,28.4
redbridge,2013,46900.0,24.8
redbridge,2014,48500.0,25.4
redbridge,2015,49200.0,25.5
redbridge,2016,44300.0,22.7
redbridge,2017,47300.0,24.2
redbridge,2018,54600.0,27.1
richmond upon thames,2004,30400.0,25.1
richmond upon thames,2005,26100.0,21.4
richmond upon thames,2006,26500.0,21.3
richmond upon thames,2007,23800.0,19.3
richmond upon thames,2008,26400.0,21.3
richmond upon thames,2009,26400.0,21.6
richmond upon thames,2010,23500.0,19.2
richmond upon thames,2011,28200.0,22.5
richmond upon thames,2012,25600.0,20.3
richmond upon thames,2013,24700.0,19.8
richmond upon thames,2014,22000.0,17.7
richmond upon thames,2015,21300.0,17.3
richmond upon thames,2016,19900.0,15.9
richmond upon thames,2017,29000.0,23.1
richmond upon thames,2018,23900.0,19.3
southwark,2004,47100.0,26.2
southwark,2005,57800.0,31.1
southwark,2006,55100.0,28.9
southwark,2007,56800.0,29.0
southwark,2008,54000.0,27.0
southwark,2009,51500.0,25.4
southwark,2010,46900.0,22.7
southwark,2011,59300.0,28.0
southwark,2012,50600.0,23.7
southwark,2013,58700.0,26.9
southwark,2014,45700.0,20.8
southwark,2015,43500.0,19.4
southwark,2016,41500.0,18.4
southwark,2017,35500.0,15.5
southwark,2018,40400.0,17.4
sutton,2004,25700.0,21.6
sutton,2005,21100.0,17.6
sutton,2006,21500.0,18.1
sutton,2007,23300.0,19.6
sutton,2008,25300.0,20.7
sutton,2009,23100.0,18.8
sutton,2010,23000.0,18.6
sutton,2011,25200.0,20.2
sutton,2012,24700.0,19.7
sutton,2013,21100.0,16.8
sutton,2014,23000.0,18.0
sutton,2015,22400.0,17.4
sutton,2016,22100.0,17.1
sutton,2017,20900.0,16.1
sutton,2018,21000.0,16.2
tower hamlets,2004,56600.0,38.4
tower hamlets,2005,51700.0,34.6
tower hamlets,2006,58500.0,38.0
tower hamlets,2007,59700.0,37.1
tower hamlets,2008,51300.0,30.4
tower hamlets,2009,53000.0,30.0
tower hamlets,2010,55800.0,30.6
tower hamlets,2011,57600.0,30.6
tower hamlets,2012,58400.0,30.2
tower hamlets,2013,53800.0,26.8
tower hamlets,2014,49500.0,23.7
tower hamlets,2015,48800.0,22.6
tower hamlets,2016,49200.0,22.3
tower hamlets,2017,70400.0,31.3
tower hamlets,2018,52300.0,22.7
waltham forest,2004,47800.0,31.7
waltham forest,2005,41800.0,27.6
waltham forest,2006,43600.0,27.9
waltham forest,2007,45500.0,28.4
waltham forest,2008,49600.0,30.2
waltham forest,2009,47800.0,28.3
waltham forest,2010,46300.0,26.6
waltham forest,2011,42400.0,23.8
waltham forest,2012,44900.0,25.3
waltham forest,2013,41700.0,23.4
waltham forest,2014,44400.0,24.9
waltham forest,2015,41700.0,22.7
waltham forest,2016,38600.0,20.9
waltham forest,2017,34200.0,18.7
waltham forest,2018,36400.0,19.5
wandsworth,2004,42100.0,20.4
wandsworth,2005,47200.0,22.5
wandsworth,2006,48500.0,22.6
wandsworth,2007,45700.0,21.1
wandsworth,2008,41500.0,18.9
wandsworth,2009,38900.0,17.5
wandsworth,2010,46700.0,21.0
wandsworth,2011,42100.0,18.7
wandsworth,2012,45900.0,20.2
wandsworth,2013,40800.0,17.9
wandsworth,2014,39600.0,17.3
wandsworth,2015,39100.0,16.8
wandsworth,2016,39500.0,17.0
wandsworth,2017,42700.0,18.5
wandsworth,2018,38100.0,16.3
westminster,2004,49200.0,31.2
westminster,2005,49700.0,30.6
westminster,2006,54000.0,32.2
westminster,2007,55000.0,33.0
westminster,2008,50800.0,31.5
westminster,2009,43300.0,27.4
westminster,2010,50000.0,31.7
westminster,2011,51900.0,32.0
westminster,2012,48400.0,29.6
westminster,2013,46700.0,28.9
westminster,2014,47900.0,29.3
westminster,2015,46400.0,27.8
westminster,2016,46200.0,27.6
westminster,2017,48800.0,29.7
westminster,2018,48300.0,28.0
